video-id,n_video,date,channel,url,n_comments,youtuber-age,address,name,city,age,hobbies,health,places,school,relationship,fam&friends,pei,level,anger,anticipation,disgust ,fear,joy,sadness,surprise,trust,negative,positive,negative %,positive %,Pei_acc,Pos_acc,Neg_acc,Nor_pei,Nor_pos,Nor_neg
Its JoJo Siwa_1,1,2017-05-24,Its JoJo Siwa,https://goo.gl/oFgC0d,Comments are turned off.,13,N,Y,Y,Y,Y,N,Y,Y,Y,Y,15,H,51,79,48,55,79,53,44,81,123,150,,,83,68.88626595,46.58927315,0.784313725,0.171861298,0.261414574
Its JoJo Siwa_2,2,2017-02-15,Its JoJo Siwa,https://www.youtube.com/watch?v=AiV0at6HplQ,3989,13,N,Y,N,Y,Y,N,N,N,N,N,3,L,57,73,53,56,78,61,45,84,139,149,3.484582602,3.735271998,68,68.88626595,46.58927315,0.637254902,0.171861298,0.261414574
Its JoJo Siwa_3,3,2016-12-09,Its JoJo Siwa,https://goo.gl/c1s9rA,2231,13,N,Y,Y,Y,Y,N,Y,N,N,Y,10,H,25,54,21,21,58,29,27,59,52,91,2.330793366,4.078888391,65,65.15099395,43.10469055,0.607843137,0.162285126,0.241133704
Its JoJo Siwa_4,4,2016-08-31,Its JoJo Siwa,https://goo.gl/YE31sb,16077,13,N,Y,Y,Y,Y,N,N,N,N,N,4,L,135,163,118,147,145,126,95,173,306,300,1.903340175,1.86601978,55,61.07210556,40.77389718,0.509803922,0.15182802,0.227568085
Its JoJo Siwa_5,5,2016-04-13,Its JoJo Siwa,https://goo.gl/8svWtw,1537,13,N,Y,Y,Y,Y,N,N,N,N,Y,7,M,28,45,18,26,45,24,20,46,62,76,4.033832141,4.944697463,51,59.20608578,38.87055701,0.470588235,0.147044077,0.216490317
Its JoJo Siwa_6,6,2015-10-18,Its JoJo Siwa,https://goo.gl/cNRYLR,1844,13,N,Y,Y,Y,Y,N,N,N,N,Y,7,M,35,63,24,43,63,38,33,64,77,122,4.175704989,6.616052061,44,54.26138832,34.83672487,0.401960784,0.134367284,0.193012719
Its JoJo Siwa_7,7,2015-09-26,Its JoJo Siwa,https://goo.gl/3kam50,276,13,N,Y,Y,Y,Y,N,Y,N,N,Y,10,H,6,23,8,13,18,8,3,20,24,33,8.695652174,11.95652174,37,47.64533626,30.66101988,0.333333333,0.117405614,0.168709397
Its JoJo Siwa_8,8,2015-07-29,Its JoJo Siwa,https://goo.gl/0QCkko,233,13,N,Y,Y,Y,Y,N,Y,N,N,Y,10,H,14,26,11,19,32,13,12,28,28,57,12.01716738,24.46351931,27,35.68881452,21.9653677,0.235294118,0.086752503,0.118099204
Its JoJo Siwa_9,9,2015-06-10,Its JoJo Siwa,https://goo.gl/r5cijF,5381,13,N,Y,Y,Y,Y,Y,N,N,Y,Y,13,H,84,88,83,90,91,91,55,101,197,188,3.661029548,3.493774391,17,11.22529521,9.948200322,0.137254902,0.024035018,0.04815722
Its JoJo Siwa_10,10,2015-02-07,Its JoJo Siwa,https://goo.gl/A7NrPo,1177,13,N,Y,Y,Y,Y,N,N,N,N,N,4,L,42,50,34,37,49,37,18,54,74,91,6.287170773,7.731520816,4,7.731520816,6.287170773,0.009803922,0.015077977,0.026849397
Baby Gizmo_1,1,2017-03-05,Baby Gizmo,https://goo.gl/5kdq31,579,12,Y,Y,Y,Y,N,N,Y,Y,N,N,13,H,11,24,11,11,27,9,11,28,27,43,4.663212435,7.426597582,79,391.9092184,173.49023,0.745098039,1,1
Baby Gizmo_2,2,2017-01-31,Baby Gizmo,https://goo.gl/I0o0uz,8,12,N,Y,Y,N,Y,N,Y,N,N,Y,9,H,1,2,0,2,3,0,1,1,1,3,12.5,37.5,66,384.4826208,168.8270176,0.617647059,0.980960322,0.9728593
Baby Gizmo_3,3,2016-10-28,Baby Gizmo,https://goo.gl/49TsoE,11,12,N,Y,Y,N,Y,N,Y,N,N,Y,9,H,0,3,0,1,2,0,1,0,2,3,18.18181818,27.27272727,57,346.9826208,156.3270176,0.529411765,0.88482102,0.900107148
Baby Gizmo_4,4,2016-08-26,Baby Gizmo,https://goo.gl/aEjxjZ,473,12,N,Y,Y,N,Y,N,Y,Y,N,Y,11,H,8,31,5,13,26,14,12,28,29,47,6.131078224,9.936575053,48,319.7098935,138.1451994,0.441176471,0.814901527,0.794285834
Baby Gizmo_5,5,2016-05-30,Baby Gizmo,https://goo.gl/tzZ8bH,69,12,N,Y,Y,N,Y,N,N,N,N,Y,6,M,5,4,5,4,11,4,3,9,10,15,14.49275362,21.73913043,37,309.7733185,132.0141211,0.333333333,0.789426983,0.758601903
